xintercept	key	showSelected1	showSelected2	PANEL
28.5	28	52	28	1
29.5	29	52	29	1
30.5	30	52	30	1
31.5	31	52	31	1
32.5	32	52	32	1
33.5	33	52	33	1
34.5	34	52	34	1
35.5	35	52	35	1
36.5	36	52	36	1
37.5	37	52	37	1
38.5	38	52	38	1
39.5	39	52	39	1
40.5	40	52	40	1
41.5	41	52	41	1
42.5	42	52	42	1
43.5	43	52	43	1
44.5	44	52	44	1
45.5	45	52	45	1
46.5	46	52	46	1
47.5	47	52	47	1
48.5	48	52	48	1
49.5	49	52	49	1
50.5	50	52	50	1
51.5	51	52	51	1
0.5	0	53	0	1
1.5	1	53	1	1
2.5	2	53	2	1
3.5	3	53	3	1
4.5	4	53	4	1
5.5	5	53	5	1
6.5	6	53	6	1
7.5	7	53	7	1
8.5	8	53	8	1
9.5	9	53	9	1
10.5	10	53	10	1
11.5	11	53	11	1
12.5	12	53	12	1
13.5	13	53	13	1
14.5	14	53	14	1
15.5	15	53	15	1
16.5	16	53	16	1
17.5	17	53	17	1
18.5	18	53	18	1
19.5	19	53	19	1
20.5	20	53	20	1
21.5	21	53	21	1
22.5	22	53	22	1
23.5	23	53	23	1
24.5	24	53	24	1
25.5	25	53	25	1
26.5	26	53	26	1
27.5	27	53	27	1
28.5	28	53	28	1
29.5	29	53	29	1
30.5	30	53	30	1
31.5	31	53	31	1
32.5	32	53	32	1
33.5	33	53	33	1
34.5	34	53	34	1
35.5	35	53	35	1
36.5	36	53	36	1
37.5	37	53	37	1
38.5	38	53	38	1
39.5	39	53	39	1
40.5	40	53	40	1
41.5	41	53	41	1
42.5	42	53	42	1
43.5	43	53	43	1
44.5	44	53	44	1
45.5	45	53	45	1
46.5	46	53	46	1
47.5	47	53	47	1
48.5	48	53	48	1
49.5	49	53	49	1
50.5	50	53	50	1
51.5	51	53	51	1
52.5	52	53	52	1
0.5	0	54	0	1
1.5	1	54	1	1
2.5	2	54	2	1
3.5	3	54	3	1
4.5	4	54	4	1
5.5	5	54	5	1
6.5	6	54	6	1
7.5	7	54	7	1
8.5	8	54	8	1
9.5	9	54	9	1
10.5	10	54	10	1
11.5	11	54	11	1
12.5	12	54	12	1
13.5	13	54	13	1
14.5	14	54	14	1
15.5	15	54	15	1
16.5	16	54	16	1
17.5	17	54	17	1
18.5	18	54	18	1
19.5	19	54	19	1
20.5	20	54	20	1
21.5	21	54	21	1
22.5	22	54	22	1
23.5	23	54	23	1
24.5	24	54	24	1
25.5	25	54	25	1
26.5	26	54	26	1
27.5	27	54	27	1
28.5	28	54	28	1
29.5	29	54	29	1
30.5	30	54	30	1
31.5	31	54	31	1
32.5	32	54	32	1
33.5	33	54	33	1
34.5	34	54	34	1
35.5	35	54	35	1
36.5	36	54	36	1
37.5	37	54	37	1
38.5	38	54	38	1
39.5	39	54	39	1
40.5	40	54	40	1
41.5	41	54	41	1
42.5	42	54	42	1
43.5	43	54	43	1
44.5	44	54	44	1
45.5	45	54	45	1
46.5	46	54	46	1
47.5	47	54	47	1
48.5	48	54	48	1
49.5	49	54	49	1
50.5	50	54	50	1
51.5	51	54	51	1
52.5	52	54	52	1
53.5	53	54	53	1
0.5	0	55	0	1
1.5	1	55	1	1
2.5	2	55	2	1
3.5	3	55	3	1
4.5	4	55	4	1
5.5	5	55	5	1
6.5	6	55	6	1
7.5	7	55	7	1
8.5	8	55	8	1
9.5	9	55	9	1
10.5	10	55	10	1
11.5	11	55	11	1
12.5	12	55	12	1
13.5	13	55	13	1
14.5	14	55	14	1
15.5	15	55	15	1
16.5	16	55	16	1
17.5	17	55	17	1
18.5	18	55	18	1
19.5	19	55	19	1
20.5	20	55	20	1
21.5	21	55	21	1
22.5	22	55	22	1
23.5	23	55	23	1
24.5	24	55	24	1
